scope,id,name,spirit,styles,price,deck_copies,deck_games,deck_inclusion_rate,average_copies_when_included,drawn,selected,pick_rate_when_drawn,selection_share,selected_side_win_rate,served,service_share,served_win_rate,flags
random,d35,Bitter Cactus,Tequila,Bitter|Fresh,16,71734,56302,0.56302,1.2740932826542575,187299,94844,0.5063775033502581,0.028245185506816498,0.49388469486736114,32260,0.028821739417883057,0.42303161810291384,
random,d36,Platinum Añejo,Tequila,Premium,22,71509,56123,0.56123,1.2741478538210715,186418,109693,0.5884249375060349,0.03266731826788434,0.49502702998368175,34671,0.030975775801532036,0.4952842433157394,
random,d37,Velvet Merlot,Wine,Fruity|Savory,16,71410,56179,0.56179,1.2711155413944712,186655,86668,0.4643218772601859,0.025810317336940367,0.5226727281118752,32358,0.028909294608923126,0.5684838370727486,
random,d38,City Spritz,Wine,Fresh|Clean,14,71530,56077,0.56077,1.2755675232269914,187160,86118,0.4601303697371233,0.02564652361220555,0.5344759516012912,32143,0.02871720924082502,0.559779734312292,
random,d39,Golden Sangria,Wine,Cheap|Fruity,14,71335,55966,0.55966,1.274613157988779,186309,59108,0.3172578887761729,0.017602762693864765,0.5337010218582933,21473,0.019184414461258615,0.6102081683975225,
random,d40,Cellar Select,Wine,Premium|Savory,20,71685,56194,0.56194,1.2756700003559098,186869,104782,0.5607243577051303,0.031204789209388538,0.5315893951251169,39452,0.03524721833584384,0.6200192639156443,
random,d41,Cream Sherry Flip,Wine,Creamy|Strong,18,71313,56076,0.56076,1.2717205221485128,186270,92756,0.49796531916035863,0.02762336496636868,0.47726292638751133,26677,0.023833773789549484,0.39172320725718784,
random,d42,Spiced Mulled Wine,Wine,Spicy,16,71070,55980,0.5598,1.2695605573419078,185585,83737,0.4512056470081095,0.02493744568748991,0.4873353475763402,26401,0.02358718978213052,0.47267148971629863,
heuristic,d1,Golden Lager,Beer,Cheap,8,42870,14290,0.1429,3,114231,24465,0.21417128450245554,0.007287105709945492,0.4876762722256284,3569,0.0031891698686444462,0.7133650882600168,underused
heuristic,d2,Citrus Shandy,Beer,Cheap|Fruity,10,42870,14290,0.1429,3,114204,42599,0.3730079506847396,0.01268846990140887,0.4746825042841381,12822,0.011457421141989098,0.6454531274372173,
heuristic,d3,Midnight Stout,Beer,Bitter|Strong,14,42870,14290,0.1429,3,114079,58399,0.5119171801996861,0.01739463259166592,0.4577304405897361,14445,0.012907693682423376,0.48286604361370716,
heuristic,d4,Spiced Saison,Beer,Spicy|Fresh,14,300000,100000,1,3,782870,273851,0.3498039265778482,0.08156882018288505,0.4718332231761067,100127,0.08947100348494326,0.42763690113555786,dominant-selection|high-inclusion
heuristic,d5,Velvet Porter,Beer,Creamy|Bitter,16,42870,14290,0.1429,3,113950,65368,0.5736551118911803,0.019470407768147024,0.5162311834536777,22901,0.020463765525869003,0.4698048120169425,
heuristic,d6,Cellar Reserve Ale,Beer,Premium|Savory,20,42870,14290,0.1429,3,114313,81456,0.7125698739425962,0.024262353677061924,0.46968915733647615,31603,0.02823965686712537,0.3940448691579913,
heuristic,d7,Clean Cut Martini,Vodka,Clean,16,42870,14290,0.1429,3,113208,79710,0.7041021835912656,0.02374229291394871,0.4077280140509346,13561,0.012117773210615673,0.21657694860261043,
heuristic,d8,Market Mule,Vodka,Fresh|Spicy,14,85716,28572,0.28572,3,224876,90567,0.4027419555666234,0.026976141542310785,0.4269325471750196,21728,0.019415601822893397,0.33426914580265094,
heuristic,d9,Neon Cosmo,Vodka,Fruity|Sour,14,42870,14290,0.1429,3,113158,46372,0.40979868855935947,0.01381228963750633,0.44695074613991204,13457,0.012024841390403003,0.5903990488221743,
heuristic,d10,Vanilla White Russian,Vodka,Creamy|Sweet,16,42870,14290,0.1429,3,112945,53808,0.4764088715746602,0.01602716468590832,0.4737585489146595,16113,0.014398177106603521,0.5351579469993173,
heuristic,d11,Pepper Lemon Drop,Vodka,Cheap|Sour,12,42870,14290,0.1429,3,113047,23528,0.20812582377241323,0.007008012390909361,0.5102431145868752,6563,0.005864534000536145,0.6804814871247905,underused
heuristic,d12,Diamond Vodka Tonic,Vodka,Premium|Clean,20,42870,14290,0.1429,3,113024,85795,0.7590865656851642,0.02555476126649391,0.4725217087242846,38260,0.03418818693593066,0.4226607422895975,
heuristic,d13,Old Fashioned,Whiskey,Bitter|Strong,18,42867,14289,0.14289,3,109283,60372,0.552437250075492,0.017982307211151818,0.5148578811369509,15570,0.013912965776070057,0.5043031470777135,
heuristic,d14,Whiskey Sour,Whiskey,Sour|Fresh,16,42867,14289,0.14289,3,109095,49234,0.4512947431137999,0.014664760372918714,0.44664256408173214,9898,0.008844607273702083,0.43938169327136795,
heuristic,d15,Honey Highball,Whiskey,Sweet|Clean,14,42867,14289,0.14289,3,109298,43759,0.4003641420703032,0.01303398564322521,0.49459539751822484,9610,0.008587257617728532,0.35775234131113426,
